Empreendimento;Bairro;Cidade;Lat;Lon; Valorempr ;ValorM;Area
JBEAD 222 Casa CA0019 - Homer Exclusividades;Jardim Botânico; Rio de Janeiro - RJ;-22970540;-43223190; R$ 16.500.000,00 ;12692,00;Zona Sul
Assembleia One - Lojas - Even RJ;Centro; Rio de Janeiro - RJ;-22904480;-43177900; R$ 14.406.170,00 ;35276,00;Centro
You Botafogo - Lojas - Even RJ;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 12.004.900,00 ;22118,00;Zona Sul
Jardim Pindorama - TAO;Gávea; Rio de Janeiro - RJ;-22975910;-43228460; R$ 9.687.300,00 ;20611,00;Zona Sul
Cyano Exclusive Residences - Gafisa RJ;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 8.848.988,00 ;29428,00;Zona Oeste
Areia - Mozak;Leblon; Rio de Janeiro - RJ;-22985479;-43222832; R$ 7.933.549,00 ;29758,00;Zona Sul
Arbô Boutique Ipanema - Mozak;Ipanema; Rio de Janeiro - RJ;-22984640;-43198589; R$ 7.400.000,00 ;23839,00;Zona Sul
Condominio do Edificio Luna Twin Apto CO0004 - Homer Exclusividades;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 5.650.000,00 ;9528,00;Zona Oeste
Canto Mar - Bait Inc;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 5.427.300,00 ;23199,00;Zona Sul
Riserva Golf Vista Mare Residenziale - Cyrela RJZ;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 5.115.548,00 ;19168,00;Zona Oeste
Aron Apto AP0066 - Homer Exclusividades;Ipanema; Rio de Janeiro - RJ;-22984640;-43198589; R$ 4.800.000,00 ;32432,00;Zona Sul
ADBVDGP 860 Casa CA0044 - Homer Exclusividades;Alto da Boa Vista; Rio de Janeiro - RJ;-22972670;-43284110; R$ 4.500.000,00 ;6429,00;Zona Sul
Riserva Golf Vista Mare Residenziale - Fase 2 - Cyrela RJZ;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 4.333.140,00 ;16236,00;Zona Oeste
Oceana Golf - Fase 2 - Patrimar;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 4.283.794,00 ;15960,00;Zona Oeste
Península - Bernini - Carvalho Hosken;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 4.150.000,00 ;10188,00;Zona Oeste
Condomínio Edifício João Nabuco Apto AP0234 - Homer Exclusividades;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 3.800.000,00 ;13571,00;Zona Sul
Península FIT - Carvalho Hosken;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 3.715.000,00 ;7623,00;Zona Oeste
BDTSP 150 Apto 25100 - C Domingues Imóveis Exclusividades;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 3.670.000,00 ;24467,00;Zona Oeste
Quattro Pinheiro Guimarães Apto CO0011 - Homer Exclusividades;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 3.600.000,00 ;14286,00;Zona Sul
Hub Coliving - Lojas - Opportunity;Centro; Rio de Janeiro - RJ;-22904480;-43177900; R$ 3.590.000,00 ;13726,00;Centro
CA 1880 Apto 25098 - C Domingues Imóveis Exclusividades;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 3.590.000,00 ;18698,00;Zona Sul
Map Offices Band - Lojas - Calçada;Jacarepaguá; Rio de Janeiro - RJ;-22973000;-43392780; R$ 3.500.000,00 ;10994,00;Zona Oeste
Wave by Yoo - Cyrela RJZ;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 3.384.970,00 ;19949,00;Zona Oeste
Condomínio Edifício Uliston Apto CO0006 - Homer Exclusividades;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 3.358.000,00 ;16380,00;Zona Sul
Península - Saint Barth - Carvalho Hosken;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 3.275.000,00 ;11995,00;Zona Oeste
Essência - Lojas - Mozak;Leblon; Rio de Janeiro - RJ;-22985479;-43222832; R$ 3.237.921,00 ;35770,00;Zona Sul
Condomínio Barramares Apto AD0003 - Homer Exclusividades;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 3.150.000,00 ;10362,00;Zona Oeste
Condomínio Barra Deck Oeste Apto CO0012 - Homer Exclusividades;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 2.950.000,00 ;10650,00;Zona Oeste
Oceana Golf - Fase 1 - Patrimar;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 2.845.408,00 ;14643,00;Zona Oeste
Soul Península - Carvalho Hosken;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 2.820.000,00 ;10017,00;Zona Oeste
Two Suites Ipanema - SIG;Ipanema; Rio de Janeiro - RJ;-22984640;-43198589; R$ 2.783.212,00 ;29536,00;Zona Sul
Praia Residencial Mar - Itten;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 2.700.890,00 ;19620,00;Zona Oeste
Edifício Matiz - Mozak;Jardim Botânico; Rio de Janeiro - RJ;-22970540;-43223190; R$ 2.675.211,00 ;20084,00;Zona Sul
Blanc 260 - Opportunity;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 2.657.700,00 ;19058,00;Zona Sul
Alba Jardim Ocêanico Apto CO0009 - Homer Exclusividades;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 2.400.000,00 ;5811,00;Zona Oeste
Urquiza - Horto Empreendimentos;Leblon; Rio de Janeiro - RJ;-22985479;-43222832; R$ 2.367.438,00 ;35324,00;Zona Sul
S Design Botafogo - Opportunity;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 2.346.600,00 ;15593,00;Zona Sul
On The Sea Arpoador - Cyrela RJZ;Ipanema; Rio de Janeiro - RJ;-22984640;-43198589; R$ 2.315.190,00 ;32417,00;Zona Sul
Solar de La Bretagne Apto AP0014RE69 - REMAX Home Exclusividades;Leblon; Rio de Janeiro - RJ;-22985479;-43222832; R$ 2.300.000,00 ;23000,00;Zona Sul
LTDC 204 Apto 7KRYFM - LOFT Select - RJ;Leblon; Rio de Janeiro - RJ;-22985479;-43222832; R$ 2.252.000,00 ;19248,00;Zona Sul
IASDS 254 Apto KQSNS7 - LOFT Select - RJ;Ipanema; Rio de Janeiro - RJ;-22984640;-43198589; R$ 2.250.000,00 ;16544,00;Zona Sul
Playa Exclusive Residences - Avanço Realizações;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 2.234.085,00 ;19010,00;Zona Oeste
Corcovado Jardim Botafogo - Opportunity;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 2.158.000,00 ;26695,00;Zona Sul
LDF 663 Apto 1DPA66W - LOFT Select - RJ;Leblon; Rio de Janeiro - RJ;-22985479;-43222832; R$ 2.130.000,00 ;20286,00;Zona Sul
Orygem Acqua Home - Fase 1 - Cyrela RJZ;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 2.113.280,00 ;13313,00;Zona Oeste
SpotLight Jardim Botafogo - Opportunity;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 2.101.400,00 ;20914,00;Zona Sul
Rosário 1 - Office Center - João Fortes;Centro; Rio de Janeiro - RJ;-22904480;-43177900; R$ 2.098.310,00 ;8500,00;Centro
IVDP 287 Apto YN67HF - LOFT Select - RJ;Ipanema; Rio de Janeiro - RJ;-22984640;-43198589; R$ 1.975.000,00 ;17793,00;Zona Sul
Now Smart Residence Irajá - Lojas - Avanço Realizações;Irajá; Rio de Janeiro - RJ;-22839270;-43324010; R$ 1.960.000,00 ;10974,00;Zona Norte
Condominio 1100 Apto 1X7B86U - LOFT Select - RJ;Leblon; Rio de Janeiro - RJ;-22985479;-43222832; R$ 1.930.000,00 ;18738,00;Zona Sul
Alto Leblon Apto VIAL82 - LOFT Select - RJ;Leblon; Rio de Janeiro - RJ;-22985479;-43222832; R$ 1.920.000,00 ;18641,00;Zona Sul
GAA 1 Apto 1MG8WHT - LOFT Select - RJ;Gávea; Rio de Janeiro - RJ;-22975910;-43228460; R$ 1.909.000,00 ;13075,00;Zona Sul
BDTLC 4250 25099 - C Domingues Imóveis Exclusividades;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 1.900.000,00 ;11176,00;Zona Oeste
Trio Botafogo - W3 Engenharia;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 1.837.000,00 ;18571,00;Zona Sul
Blanc 260 - Loja - Opportunity;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 1.826.000,00 ;22745,00;Zona Sul
Canto Rio - Bait Inc;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 1.820.500,00 ;44294,00;Zona Sul
LTDC 444 Apto CIKTW2 - LOFT Select - RJ;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 1.820.000,00 ;18200,00;Zona Sul
Rosário 1 - Office Center - Lojas - João Fortes;Centro; Rio de Janeiro - RJ;-22904480;-43177900; R$ 1.781.129,00 ;7813,00;Centro
O2 Corporate Offices - Calçada;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 1.740.700,00 ;8747,00;Zona Oeste
BS 720 Apto 1RH77BD - LOFT Select - RJ;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 1.716.000,00 ;12000,00;Zona Sul
WE Sorocaba - Gafisa RJ;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 1.705.197,00 ;15544,00;Zona Sul
Quattro Pinheiros Guimarães - W3 Engenharia;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 1.699.000,00 ;13069,00;Zona Sul
Volp 40 - Tegra RJ;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 1.677.000,00 ;14796,00;Zona Sul
Latitud Condominium Design - Fase 2 - Cyrela RJZ;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 1.665.700,00 ;13890,00;Zona Oeste
ON - Cyrela RJZ;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 1.661.576,00 ;18582,00;Zona Sul
Arte Jardim Botânico - Bait Inc;Jardim Botânico; Rio de Janeiro - RJ;-22970540;-43223190; R$ 1.652.100,00 ;20207,00;Zona Sul
CNSDC 1022 Apto ACF4VN - LOFT Select - RJ;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 1.640.000,00 ;12813,00;Zona Sul
BVDP 110 Apto 541 - Agenciou RJ Exclusividades;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 1.630.000,00 ;18502,00;Zona Sul
Latitud Condominium Design - Cyrela RJZ;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 1.621.940,00 ;13390,00;Zona Oeste
You Botafogo - Even RJ;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 1.606.480,00 ;22519,00;Zona Sul
Alfa Rio Prime Business - João Fortes;Centro; Rio de Janeiro - RJ;-22904480;-43177900; R$ 1.591.946,00 ;10700,00;Centro
Highlight Jardim Botafogo - Opportunity;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 1.590.400,00 ;20366,00;Zona Sul
BMRF 210 Apto UTNAMF - LOFT Select - RJ;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 1.550.000,00 ;19872,00;Zona Sul
Malia - V&P;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 1.549.900,00 ;11270,00;Zona Oeste
Art Ipanema - Valente;Ipanema; Rio de Janeiro - RJ;-22984640;-43198589; R$ 1.546.000,00 ;33333,00;Zona Sul
Riachuelo 366 Corporate - Lojas - Even RJ;Centro; Rio de Janeiro - RJ;-22904480;-43177900; R$ 1.545.000,00 ;10806,00;Centro
Easy Botafogo - Cyrela RJZ;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 1.522.960,00 ;15699,00;Zona Sul
CPL 101 Apto 1654BBH - LOFT Select - RJ;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 1.520.000,00 ;12667,00;Zona Sul
itanhander Apto 1QHR9QK - LOFT Select - RJ;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 1.515.000,00 ;11391,00;Zona Sul
CBR 665 Apto 3PILVJ - LOFT Select - RJ;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 1.505.000,00 ;11667,00;Zona Sul
JBJB 192 Apto XOS8TN - LOFT Select - RJ;Jardim Botânico; Rio de Janeiro - RJ;-22970540;-43223190; R$ 1.495.000,00 ;15737,00;Zona Sul
Ivo Bait - Bait Inc;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 1.488.100,00 ;20104,00;Zona Sul
PB'50 - Opportunity;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 1.415.400,00 ;17957,00;Zona Sul
CDDR 86 Apto D0WYAT - LOFT Select - RJ;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 1.400.000,00 ;14583,00;Zona Sul
CSC 32 Apto 196DITO - LOFT Select - RJ;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 1.380.000,00 ;10781,00;Zona Sul
Condominio do Edificio Tijucamar II Apto AP0059 - Homer Exclusividades;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 1.370.000,00 ;12342,00;Zona Oeste
BGG 59 Apto K5ZXPE - LOFT Select - RJ;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 1.370.000,00 ;13838,00;Zona Sul
FFO 18 Apto NBQ9LY - LOFT Select - RJ;Flamengo; Rio de Janeiro - RJ;-22937490;-43175968; R$ 1.368.000,00 ;11793,00;Zona Sul
Flora - Mozak;Jardim Botânico; Rio de Janeiro - RJ;-22970540;-43223190; R$ 1.364.918,00 ;17564,00;Zona Sul
CML 90 Apto P7ZZ1A - LOFT Select - RJ;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 1.360.000,00 ;9927,00;Zona Sul
FSV 70 Apto UGUQ30 - LOFT Select - RJ;Flamengo; Rio de Janeiro - RJ;-22937490;-43175968; R$ 1.359.000,00 ;10454,00;Zona Sul
HEMP 107 Apto 1VA6D55 - LOFT Select - RJ;Humaitá; Rio de Janeiro - RJ;-22957770;-43199150; R$ 1.355.000,00 ;14570,00;Centro
CBR 280 Apto 1VXR18B - LOFT Select - RJ;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 1.351.000,00 ;9719,00;Zona Sul
Cora Gávea - INTI;Gávea; Rio de Janeiro - RJ;-22975910;-43228460; R$ 1.349.381,00 ;13323,00;Zona Sul
ruberi Apto 1ITZ80V - LOFT Select - RJ;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 1.340.000,00 ;9926,00;Zona Sul
Edificio Centro Comercial Santa Angela Apto UNE1IA - LOFT Select - RJ;Leblon; Rio de Janeiro - RJ;-22985479;-43222832; R$ 1.325.000,00 ;20385,00;Zona Sul
Iluminato Botafogo - Opportunity;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 1.324.600,00 ;17732,00;Zona Sul
BA 71 Apto 1WLVA04 - LOFT Select - RJ;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 1.300.000,00 ;11017,00;Zona Sul
HDH 110 Apto P0VESK - LOFT Select - RJ;Humaitá; Rio de Janeiro - RJ;-22957770;-43199150; R$ 1.300.000,00 ;14444,00;Centro
Villa Visconti - W3 Engenharia;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 1.295.000,00 ;15402,00;Zona Sul
CI 7 Apto 1DS4SS7 - LOFT Select - RJ;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 1.290.000,00 ;12286,00;Zona Sul
CBR 532 Apto 590ZLF - LOFT Select - RJ;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 1.280.000,00 ;10159,00;Zona Sul
RG 33 - Disa Catisa;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 1.253.700,00 ;11324,00;Zona Sul
CBR 35 Apto 1DKBTJ4 - LOFT Select - RJ;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 1.253.000,00 ;10802,00;Zona Sul
Porto Victoria Apto AP0008RE69 - REMAX Home Exclusividades;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 1.250.000,00 ;8224,00;Zona Sul
Residencial Brindisi - Belletti Engenharia;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 1.240.000,00 ;14091,00;Zona Sul
GAA 18 Apto NM3GOG - LOFT Select - RJ;Gávea; Rio de Janeiro - RJ;-22975910;-43228460; R$ 1.235.000,00 ;13424,00;Zona Sul
Condominio Do Edificio Big Bem Apto 117CSOB - LOFT Select - RJ;Ipanema; Rio de Janeiro - RJ;-22984640;-43198589; R$ 1.230.000,00 ;19219,00;Zona Sul
Flamengo Town Houses - Liga Empreendimentos;Flamengo; Rio de Janeiro - RJ;-22937490;-43175968; R$ 1.228.000,00 ;11310,00;Zona Sul
Marias Estúdios Ipanema - Mozak;Ipanema; Rio de Janeiro - RJ;-22984640;-43198589; R$ 1.220.464,00 ;25592,00;Zona Sul
HVL 249 Apto 12J50IL - LOFT Select - RJ;Humaitá; Rio de Janeiro - RJ;-22957770;-43199150; R$ 1.217.000,00 ;13086,00;Centro
CBR 83 Apto 1XABCJW - LOFT Select - RJ;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 1.207.000,00 ;11387,00;Zona Sul
CPGB 77 Apto 1TYE46S - LOFT Select - RJ;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 1.195.000,00 ;13132,00;Zona Sul
Largo dos Palácios - João Fortes;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 1.194.760,00 ;14000,00;Zona Sul
caning Apto 1U4M5W2 - LOFT Select - RJ;Ipanema; Rio de Janeiro - RJ;-22984640;-43198589; R$ 1.170.000,00 ;18281,00;Zona Sul
Ilha Pura - Saint Michel - Carvalho Hosken;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 1.166.000,00 ;8880,00;Zona Oeste
Essenza Design Houses - Making Engenharia;Freguesia (Jacarepaguá); Rio de Janeiro - RJ;-22945670;-43352840; R$ 1.152.571,00 ;4349,00;Zona Oeste
BB 17 Apto GN1GK4 - LOFT Select - RJ;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 1.150.000,00 ;14935,00;Zona Sul
Terral Residences - Casenge Engenharia;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 1.142.000,00 ;12050,00;Zona Oeste
Edifício Ana Beatriz Apto R37EZV - LOFT Select - RJ;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 1.140.000,00 ;13902,00;Zona Sul
CBR 687 Apto 4DN2H7 - LOFT Select - RJ;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 1.140.000,00 ;10556,00;Zona Sul
CBR 687 Apto 5FKP0N - LOFT Select - RJ;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 1.110.000,00 ;10091,00;Zona Sul
IVDP 8 Apto 182ZA83 - LOFT Select - RJ;Ipanema; Rio de Janeiro - RJ;-22984640;-43198589; R$ 1.100.000,00 ;14667,00;Zona Sul
All Jardim Oceânico - Opportunity;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 1.094.100,00 ;12933,00;Zona Oeste
GSD 138 Apto 1TVA3SL - LOFT Select - RJ;Gávea; Rio de Janeiro - RJ;-22975910;-43228460; R$ 1.094.000,00 ;13506,00;Zona Sul
CHO 140 Apto 5JUNPK - LOFT Select - RJ;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 1.090.000,00 ;11010,00;Zona Sul
CBR 723 Apto 1WSW9XR - LOFT Select - RJ;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 1.085.000,00 ;10333,00;Zona Sul
BGGM 8 Apto JPZGHH - LOFT Select - RJ;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 1.080.000,00 ;11489,00;Zona Sul
BDM 131 Apto TZ3EOP - LOFT Select - RJ;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 1.075.000,00 ;14333,00;Zona Sul
HEMP 63 Apto UKFZ51 - LOFT Select - RJ;Humaitá; Rio de Janeiro - RJ;-22957770;-43199150; R$ 1.025.000,00 ;14437,00;Centro
FMDA 73 Apto 1DXGGH5 - LOFT Select - RJ;Flamengo; Rio de Janeiro - RJ;-22937490;-43175968; R$ 1.020.000,00 ;10200,00;Zona Sul
CBR 727 Apto J0JNWT - LOFT Select - RJ;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 1.010.000,00 ;9439,00;Zona Sul
Mudrá Full Living - Cyrela RJZ;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 1.001.590,00 ;12629,00;Zona Oeste
Atmosfera Condominium Park - Cyrela RJZ;Maracanã; Rio de Janeiro - RJ;-22913470;-43227350; R$ 992.600,00 ;11046,00;Zona Norte
Dezoitto - Itten;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 983.069,00 ;10873,00;Zona Oeste
Condomínio Parque Residencial Dayse Lucy Boleli Apto CO0005 - Homer Exclusividades;Freguesia (Jacarepaguá); Rio de Janeiro - RJ;-22945670;-43352840; R$ 960.000,00 ;3057,00;Zona Oeste
Edifício Elfa Apto 1KO2GHE - LOFT Select - RJ;Flamengo; Rio de Janeiro - RJ;-22937490;-43175968; R$ 950.000,00 ;9596,00;Zona Sul
Condomínio do Edifício Perigord Apto AP0136 - Homer Exclusividades;Glória; Rio de Janeiro - RJ;-22920000;-43176500; R$ 950.000,00 ;12179,00;Centro
CMFB 181 Apto 30D2W0 - LOFT Select - RJ;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 940.000,00 ;10444,00;Zona Sul
HGD 33 Apto D0KDVP - LOFT Select - RJ;Humaitá; Rio de Janeiro - RJ;-22957770;-43199150; R$ 938.000,00 ;11035,00;Centro
Casas Jardim Casa CA0012 - Homer Exclusividades;Freguesia (Jacarepaguá); Rio de Janeiro - RJ;-22945670;-43352840; R$ 930.000,00 ;7750,00;Zona Oeste
CBR 596 Apto 1J3CLOW - LOFT Select - RJ;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 921.000,00 ;9798,00;Zona Sul
BGP 121 Apto G8K0SZ - LOFT Select - RJ;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 916.000,00 ;13879,00;Zona Sul
Be Península - Fase 1 - Canopus RJ;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 911.487,00 ;12246,00;Zona Oeste
CI 19 Apto UPEZW5 - LOFT Select - RJ;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 900.000,00 ;12500,00;Zona Sul
BMDO 78 Apto MBKD4W - LOFT Select - RJ;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 870.000,00 ;10000,00;Zona Sul
Invert Barra - Gafisa RJ;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 865.906,00 ;10450,00;Zona Oeste
Rivadávia Apto AP0022RE69 - REMAX Home Exclusividades;Copacabana; Rio de Janeiro - RJ;-22967850;-43178980; R$ 850.000,00 ;9239,00;Zona Sul
HDH 18 Apto 19LVCLC - LOFT Select - RJ;Humaitá; Rio de Janeiro - RJ;-22957770;-43199150; R$ 835.000,00 ;11284,00;Centro
BHS 10 Apto 1IA5G1 - LOFT Select - RJ;Botafogo; Rio de Janeiro - RJ;-22901450;-43178920; R$ 820.000,00 ;12059,00;Zona Sul
Link Office Mall & Stay - Stay - Helbor RJ;Barra da Tijuca; Rio de Janeiro - RJ;-23011860;-43309270; R$ 815.849,00 ;11793,00;Zona Oeste
GCM 279 Apto 1EX9YTD - LOFT Select - RJ;Glória; Rio de Janeiro - RJ;-22920000;-43176500; R$ 815.000,00 ;10724,00;Centro
